id,first_name,middle_name,last_name,gender,billing_address,shipping_address,credit_score,sales_region,activity_tier
1,Perla,Bentley,HUFFMAN,F,"61251 Melissa Radial Apt. 746 South Diane, Nevada 58916","PSC 7018, Box 2734 APO AP 85639",669,Nevada,1.0
2,Gregory,Alayna,SALINAS,M,"43566 Carlos Isle Suite 933 Johnland, Washington 40806","43566 Carlos Isle Suite 933 Johnland, Washington 40806",378,Washington,1.0
3,David,Randy,REIS,M,"756 Kevin Orchard Apt. 140 East Katelynland, North Dakota 75965","756 Kevin Orchard Apt. 140 East Katelynland, North Dakota 75965",518,North Dakota,2.0
4,Kenneth,Billy,DWYER,M,"8658 James Route Leahland, Texas 77674","8658 James Route Leahland, Texas 77674",758,Texas,1.0
5,Layla,John,ROBERTS,F,"9812 Juan Harbors Apt. 829 Bennettport, Michigan 86409","Lucas, Lopez and Braun 390 Sullivan Green Bennettport, Michigan 86409",623,Michigan,1.0
6,Kevin,Colton,CALLAHAN,M,"103 Jamie Point New Victorfurt, Massachusetts 01265","103 Jamie Point New Victorfurt, Massachusetts 01265",421,Massachusetts,1.0
7,Logan,Lilian,WILLIAMS,M,"99131 Dalton Corner Jamieport, California 22546","99131 Dalton Corner Jamieport, California 22546",375,California,4.0
8,Landon,Miah,PETERS,M,"2871 Mary Ways Apt. 812 West Coryhaven, Connecticut 45947","2871 Mary Ways Apt. 812 West Coryhaven, Connecticut 45947",473,Connecticut,1.0
9,Mckayla,Rebekah,HARVEY,F,"403 Avila Lakes West Kylestad, Nevada 21855","403 Avila Lakes West Kylestad, Nevada 21855",668,Nevada,1.0
10,Blaine,Dane,PETERSON,M,"956 Joanna Junctions Scottton, Kansas 03525","956 Joanna Junctions Scottton, Kansas 03525",524,Kansas,4.0
11,Jaida,Ciara,SMITH,F,"5206 Martin Lake South Kimberly, Kentucky 23799","5206 Martin Lake South Kimberly, Kentucky 23799",419,Kentucky,1.0
12,William,Alissa,MULLIGAN,M,"28671 Joseph Vista Apt. 290 Walkerside, Nebraska 16987","28671 Joseph Vista Apt. 290 Walkerside, Nebraska 16987",536,Nebraska,4.0
13,Moises,Jessica,SMITH,M,"04480 Kimberly Park Suite 249 Kirstenland, Florida 78360","94412 Sarah Mission Apt. 149 Smithmouth, UT 22489",350,Florida,2.0
14,Grace,Raegan,THOMPSON,F,"45482 Johnston Expressway Hardyhaven, Arkansas 69879","45482 Johnston Expressway Hardyhaven, Arkansas 69879",574,Arkansas,2.0
15,Kylie,Kasey,ACOSTA,F,"65885 Amber Locks Apt. 633 North Steven, South Carolina 72119","514 Hart Courts Apt. 419 Cherryside, VI 63147-0412",659,South Carolina,1.0
16,Delilah,Lola,OWENS,F,"15300 Glover Neck Apt. 093 Richardport, California 20234","15300 Glover Neck Apt. 093 Richardport, California 20234",633,California,2.0
17,Maliyah,Maximus,GARMON,F,"277 Jeremy Track Rodgersville, Indiana 32699","277 Jeremy Track Rodgersville, Indiana 32699",640,Indiana,1.0
18,Samantha,Travis,MARSH,F,"49509 Roberts Crossing East Joanna, West Virginia 74809","204 Mary Corner Suite 672 Williamsmouth, RI 36197-7431",529,West Virginia,1.0
19,Kaylee,Joslyn,ESPINOSA,F,"2064 Cruz Ferry New Aprilborough, Kentucky 84321","54787 Gay Estates East Lisa, OK 50068-1010",434,Kentucky,4.0
20,Olivia,Curtis,RUFFIN,F,"1181 Torres Green Phillipsburgh, Oregon 18839","669 Mccullough Trail Lake Jamestown, NM 99704-1098",422,Oregon,1.0
21,Sierra,Osvaldo,CORTEZ,F,"7020 Carter Fort Dakotamouth, Vermont 05602","9382 Gonzalez Green Watsonside, NV 51299",615,Vermont,1.0
22,Francesca,Shaniya,SORIANO,F,"51400 Stokes Loop Lake Jessica, Kansas 23818","51400 Stokes Loop Lake Jessica, Kansas 23818",578,Kansas,1.0
23,Evan,Tania,WHITED,M,"576 Ramos Fork Apt. 386 Jasonfurt, Ohio 07535","576 Ramos Fork Apt. 386 Jasonfurt, Ohio 07535",441,Ohio,1.0
24,Adam,Elisha,MOSES,M,"137 Steven Brook Apt. 509 East Robert, North Carolina 52725","137 Steven Brook Apt. 509 East Robert, North Carolina 52725",310,North Carolina,1.0
25,Hudson,Melina,BOOTH,M,"59384 Michael Village Timothyview, Arkansas 18314","59384 Michael Village Timothyview, Arkansas 18314",426,Arkansas,4.0
26,Raul,Giovanna,WILSON,M,"853 Anthony Extensions East Jamie, North Carolina 14638","Ryan, Brooks and Ball 392 Garcia Camp East Jamie, North Carolina 14638",425,North Carolina,1.0
27,Ariel,Deven,RICE,F,"197 Huff Ways East Stephaniefort, Virginia 66630","197 Huff Ways East Stephaniefort, Virginia 66630",461,Virginia,2.0
28,Alana,Estrella,BROWN,F,"569 Carrie Well Apt. 516 Jamesbury, Georgia 56798","569 Carrie Well Apt. 516 Jamesbury, Georgia 56798",403,Georgia,1.0
29,Evelyn,Brynlee,WATKINS,F,"51410 Jaclyn Groves Suite 182 Davidbury, South Carolina 43322","51410 Jaclyn Groves Suite 182 Davidbury, South Carolina 43322",688,South Carolina,4.0
30,Jude,Norah,ZAVALA,M,"621 Parsons Camp East Thomasview, Utah 05897","621 Parsons Camp East Thomasview, Utah 05897",524,Utah,4.0
31,Keith,Addyson,COLLINS,M,"0336 Howell Mill Apt. 234 Lake Justinmouth, Georgia 98023","0336 Howell Mill Apt. 234 Lake Justinmouth, Georgia 98023",753,Georgia,1.0
32,Madison,Linda,ELLIOTT,F,"11309 Robert Landing Suite 277 Daniellemouth, Oklahoma 88475","11309 Robert Landing Suite 277 Daniellemouth, Oklahoma 88475",774,Oklahoma,2.0
33,Jayden,Arabella,ALONZO,M,"608 Garcia Vista Apt. 368 Kellymouth, Tennessee 47144","608 Garcia Vista Apt. 368 Kellymouth, Tennessee 47144",306,Tennessee,1.0
34,Brandon,Kaylin,GILL,M,"06516 Mcneil Vista Suite 606 Cindyville, Maine 58514","06516 Mcneil Vista Suite 606 Cindyville, Maine 58514",718,Maine,2.0
35,Tyrese,Carter,BROWN,M,"609 Russell Points Jonesfort, Tennessee 69919","609 Russell Points Jonesfort, Tennessee 69919",495,Tennessee,2.0
36,Elizabeth,Kiana,BENTLEY,F,"51057 Hernandez Garden Suite 488 New Melissaview, Minnesota 68819","51057 Hernandez Garden Suite 488 New Melissaview, Minnesota 68819",510,Minnesota,4.0
37,Logan,Jordyn,YOUNG,M,"7112 Watson Estate Apt. 686 West Rachel, Connecticut 86029","7112 Watson Estate Apt. 686 West Rachel, Connecticut 86029",324,Connecticut,2.0
38,Riley,Adrienne,TRAVIS,F,"9742 Vincent Drives Suite 879 North Jameston, Indiana 83372","9742 Vincent Drives Suite 879 North Jameston, Indiana 83372",468,Indiana,1.0
