id,first_name,middle_name,last_name,email,email_confidence,email_do_not_call,phone_number,phone_number_confidence,phone_number_do_not_call,status,segment_id
1,Jasmin,Sidney,SMITH,Jasmin.SMITH@mmm.epu,0.833681928738101,False,467-05-551,0.6395199183408858,False,prospect,9
1,Jasmin,Sidney,SMITH,Jasmin.SMITH@fakedomain.eru,0.07670760561431988,False,3256972433,0.2469681535067697,True,prospect,9
1,Jasmin,Sidney,SMITH,JasminSMITH@fakedomain.eru,0.2782313671956269,True,(327)173732,0.7484753396573062,False,prospect,9
1,Jasmin,Sidney,SMITH,Jasmin.SMITH@mmm.epu,0.833681928738101,False,467-05-551,0.6395199183408858,False,prospect,9
1,Jasmin,Sidney,SMITH,Jasmin.SMITH@fakedomain.eru,0.07670760561431988,False,3256972433,0.2469681535067697,True,prospect,9
1,Jasmin,Sidney,SMITH,JasminSMITH@fakedomain.eru,0.2782313671956269,True,(327)173732,0.7484753396573062,False,prospect,9
1,Jasmin,Sidney,SMITH,Jasmin.SMITH@mmm.epu,0.833681928738101,False,467-05-551,0.6395199183408858,False,prospect,9
1,Jasmin,Sidney,SMITH,Jasmin.SMITH@fakedomain.eru,0.07670760561431988,False,3256972433,0.2469681535067697,True,prospect,9
1,Jasmin,Sidney,SMITH,JasminSMITH@fakedomain.eru,0.2782313671956269,True,(327)173732,0.7484753396573062,False,prospect,9
2,Andy,Jaylen,CABRERA,Andy.CABRERA@donotcontact.cbm,0.08055359012609231,False,,,,lead,9
2,Andy,Jaylen,CABRERA,Andy.CABRERA@mmm.epu,0.8435707372194305,False,,,,lead,9
2,Andy,Jaylen,CABRERA,Andy.CABRERA@fakedomain.eru,0.4727204752143933,False,,,,lead,9
3,Jessica,Angel,RIVERA,JessicaRIVERA@mmm.epu,0.5823131811699314,False,(203)979559,0.6926928448871397,False,prospect,8
3,Jessica,Angel,RIVERA,JRIVERA@donotcontact.cbm,0.6303760083697686,False,(203)979559,0.6926928448871397,False,prospect,8
3,Jessica,Angel,RIVERA,Jessica.RIVERA@donotcontact.cbm,0.5184993770513907,False,(203)979559,0.6926928448871397,False,prospect,8
4,Johnny,Kiara,PORTER,Johnny.PORTER@mmm.epu,0.15265753672346738,True,,,,lead,7
5,Nathan,Luz,LONG,NathanLONG@untrustworthy.oeg,0.44486592958794013,False,0359876026,0.18834853571297572,False,lead,4
6,Angel,Nataly,NORTON,Angel.NORTON@donotcontact.cbm,0.12385956139803611,True,,,,lead,8
6,Angel,Nataly,NORTON,AngelNORTON@donotcontact.cbm,0.7512407713262493,False,,,,lead,8
6,Angel,Nataly,NORTON,Angel.NORTON@donotcontact.cbm,0.9284925474971393,True,,,,lead,8
6,Angel,Nataly,NORTON,Angel.NORTON@donotcontact.cbm,0.4419546602946989,False,,,,lead,8
6,Angel,Nataly,NORTON,Angel.NORTON@mmm.epu,0.8695503603330155,False,,,,lead,8
7,Kaitlin,Evan,HOOD,KHOOD@untrustworthy.oeg,0.6980672742807891,False,0522067779,0.5066836511974033,False,prospect,3
7,Kaitlin,Evan,HOOD,Kaitlin.HOOD@untrustworthy.oeg,0.287107916909918,True,0522067779,0.5066836511974033,False,prospect,3
7,Kaitlin,Evan,HOOD,KaitlinHOOD@untrustworthy.oeg,0.46607311263478735,True,0522067779,0.5066836511974033,False,prospect,3
7,Kaitlin,Evan,HOOD,Kaitlin.HOOD@untrustworthy.oeg,0.6493992770776758,True,0522067779,0.5066836511974033,False,prospect,3
8,Jessica,Paisley,HARPER,,,,7246772975,0.20078393065258615,False,customer,6
8,Jessica,Paisley,HARPER,,,,2327850659,0.9380929888667685,False,customer,6
8,Jessica,Paisley,HARPER,,,,2017044564,0.3222840404790902,True,customer,6
9,Jacob,Sergio,BATTLE,JacobBATTLE@mmm.epu,0.04515532754715912,False,(282)879962,0.4179075669754092,True,lead,2
9,Jacob,Sergio,BATTLE,JacobBATTLE@mmm.epu,0.04515532754715912,False,341-62-562,0.4190790116362063,True,lead,2
10,Madison,Jessica,DUTTON,MDUTTON@mmm.epu,0.21561155286226097,False,(559)541892,0.5379456192773222,False,lead,8
10,Madison,Jessica,DUTTON,MDUTTON@donotcontact.cbm,0.537745443858694,False,8859564644,0.5108043039991835,False,lead,8
10,Madison,Jessica,DUTTON,MDUTTON@untrustworthy.oeg,0.1755695924662234,False,(406)118029,0.48893658625732894,True,lead,8
10,Madison,Jessica,DUTTON,MDUTTON@fakedomain.eru,0.4249483682120295,True,(559)541892,0.5379456192773222,False,lead,8
10,Madison,Jessica,DUTTON,MDUTTON@mmm.epu,0.6994931001022914,False,8859564644,0.5108043039991835,False,lead,8
10,Madison,Jessica,DUTTON,MDUTTON@mmm.epu,0.21561155286226097,False,(406)118029,0.48893658625732894,True,lead,8
10,Madison,Jessica,DUTTON,MDUTTON@donotcontact.cbm,0.537745443858694,False,(559)541892,0.5379456192773222,False,lead,8
10,Madison,Jessica,DUTTON,MDUTTON@untrustworthy.oeg,0.1755695924662234,False,8859564644,0.5108043039991835,False,lead,8
10,Madison,Jessica,DUTTON,MDUTTON@fakedomain.eru,0.4249483682120295,True,(406)118029,0.48893658625732894,True,lead,8
10,Madison,Jessica,DUTTON,MDUTTON@mmm.epu,0.6994931001022914,False,(559)541892,0.5379456192773222,False,lead,8
10,Madison,Jessica,DUTTON,MDUTTON@mmm.epu,0.21561155286226097,False,8859564644,0.5108043039991835,False,lead,8
10,Madison,Jessica,DUTTON,MDUTTON@donotcontact.cbm,0.537745443858694,False,(406)118029,0.48893658625732894,True,lead,8
10,Madison,Jessica,DUTTON,MDUTTON@untrustworthy.oeg,0.1755695924662234,False,(559)541892,0.5379456192773222,False,lead,8
10,Madison,Jessica,DUTTON,MDUTTON@fakedomain.eru,0.4249483682120295,True,8859564644,0.5108043039991835,False,lead,8
10,Madison,Jessica,DUTTON,MDUTTON@mmm.epu,0.6994931001022914,False,(406)118029,0.48893658625732894,True,lead,8
11,Teresa,Lea,BURGESS,,,,8459739019,0.030519678057032373,False,lead,10
11,Teresa,Lea,BURGESS,,,,997-21-243,0.7996412049073067,False,lead,10
11,Teresa,Lea,BURGESS,,,,810-48-092,0.7501180040451734,True,lead,10
12,Matthew,Sasha,LOVE,MatthewLOVE@mmm.epu,0.6251845435870255,True,(662)435566,0.3811571922807404,False,customer,9
12,Matthew,Sasha,LOVE,MatthewLOVE@mmm.epu,0.6251845435870255,True,(657)972517,0.8391647598581459,False,customer,9
12,Matthew,Sasha,LOVE,MatthewLOVE@mmm.epu,0.6251845435870255,True,6556123843,0.2221840102807534,False,customer,9
13,Giselle,Veronica,SARGENT,,,,,,,prospect,4
14,Jacquelyn,Walker,RAY,,,,8904965172,0.8924077025535755,False,lead,4
14,Jacquelyn,Walker,RAY,,,,440-94-157,0.6576789240667751,False,lead,4
15,Annie,Janelle,CHURCH,ACHURCH@untrustworthy.oeg,0.04494265246689044,False,,,,customer,3
15,Annie,Janelle,CHURCH,Annie.CHURCH@mmm.epu,0.9723214187943314,False,,,,customer,3
16,Madison,Nolan,BREWER,MBREWER@mmm.epu,0.41242352205897836,False,777-20-529,0.19373015289217987,False,lead,6
